user_id,country,frequency,monetary,recency_days,tenure_days,return_rate,user_segment
54187,Brazil,1,25.0,1053,0,0.0,沉睡/低价值用户
83002,United Kingdom,1,27.450000762939453,1053,0,1.0,沉睡/低价值用户
40905,France,1,23.979999542236328,1055,0,0.0,沉睡/低价值用户
76319,Brazil,1,30.959999084472656,1055,0,0.0,沉睡/低价值用户
12830,United States,1,29.989999771118164,1057,0,0.0,沉睡/低价值用户
29042,China,1,17.65999984741211,1058,0,0.0,沉睡/低价值用户
16712,United States,1,23.0,1058,0,0.0,沉睡/低价值用户
93501,Brazil,1,24.96999931335449,1058,0,0.0,沉睡/低价值用户
91705,Japan,1,12.899999618530272,1059,0,1.0,沉睡/低价值用户
41532,China,1,25.0,1059,0,0.0,沉睡/低价值用户
32942,United States,1,19.989999771118164,1059,0,0.0,沉睡/低价值用户
69549,Australia,1,22.899999618530277,1059,0,0.0,沉睡/低价值用户
94607,China,1,18.989999771118164,1060,0,0.0,沉睡/低价值用户
42010,Germany,1,21.950000762939453,1062,0,0.0,沉睡/低价值用户
40845,United States,1,25.0,1063,0,0.0,沉睡/低价值用户
2888,United States,1,18.5,1064,0,0.0,沉睡/低价值用户
10847,United States,1,16.989999771118164,1065,0,0.0,沉睡/低价值用户
92643,China,1,22.0,1066,0,1.0,沉睡/低价值用户
63765,Brazil,1,18.0,1066,0,0.0,沉睡/低价值用户
56128,Brazil,1,23.0,1067,0,0.0,沉睡/低价值用户
14028,China,1,10.0,1067,0,0.0,沉睡/低价值用户
9361,Brazil,1,24.979999542236328,1068,0,0.0,沉睡/低价值用户
55338,China,1,30.989999771118164,1069,0,1.0,沉睡/低价值用户
97499,United States,1,21.0,1069,0,0.0,沉睡/低价值用户
164,United States,1,28.0,1070,0,0.0,沉睡/低价值用户
38363,China,1,10.359999656677246,1070,0,0.0,沉睡/低价值用户
917,France,1,10.0,1071,0,0.0,沉睡/低价值用户
99990,United States,1,30.0,1073,0,0.0,沉睡/低价值用户
46999,United States,1,27.989999771118164,1074,0,0.0,沉睡/低价值用户
83582,Spain,1,30.0,1074,0,0.0,沉睡/低价值用户
12104,Spain,1,18.989999771118164,1074,0,0.0,沉睡/低价值用户
59397,China,1,19.950000762939453,1075,0,0.0,沉睡/低价值用户
30603,United States,1,30.200000762939453,1075,0,1.0,沉睡/低价值用户
13649,United States,1,19.979999542236328,1076,0,0.0,沉睡/低价值用户
42438,Brazil,1,13.3100004196167,1077,0,0.0,沉睡/低价值用户
99358,China,1,28.840000152587887,1078,0,0.0,沉睡/低价值用户
12684,Brazil,1,15.769999742507935,1079,0,0.0,沉睡/低价值用户
41579,Australia,1,29.989999771118164,1079,0,0.0,沉睡/低价值用户
18025,China,1,25.25,1079,0,0.0,沉睡/低价值用户
32588,France,1,29.299999237060547,1080,0,0.0,沉睡/低价值用户
22313,Brazil,1,25.0,1080,0,0.0,沉睡/低价值用户
90574,China,1,8.0,1080,0,0.0,沉睡/低价值用户
95693,United States,1,20.8700008392334,1080,0,0.0,沉睡/低价值用户
30845,United States,1,24.0,1081,0,0.0,沉睡/低价值用户
98307,United States,1,12.0,1081,0,0.0,沉睡/低价值用户
10101,China,1,19.0,1081,0,1.0,沉睡/低价值用户
64066,United States,1,25.0,1081,0,0.0,沉睡/低价值用户
22385,China,1,29.989999771118164,1083,0,0.0,沉睡/低价值用户
90773,United States,1,29.950000762939453,1083,0,0.0,沉睡/低价值用户
42820,China,1,19.950000762939453,1084,0,0.0,沉睡/低价值用户
62174,France,1,24.0,1084,0,0.0,沉睡/低价值用户
6360,United States,1,13.640000343322754,1084,0,0.0,沉睡/低价值用户
71054,China,1,25.0,1084,0,0.0,沉睡/低价值用户
87328,China,1,25.0,1084,0,1.0,沉睡/低价值用户
47353,Belgium,1,15.989999771118164,1085,0,0.0,沉睡/低价值用户
70460,China,1,25.0,1085,0,0.0,沉睡/低价值用户
14147,France,1,30.0,1088,0,0.0,沉睡/低价值用户
23924,China,1,31.989999771118164,1088,0,0.0,沉睡/低价值用户
27928,Australia,1,12.949999809265137,1089,0,1.0,沉睡/低价值用户
58325,South Korea,1,14.0,1089,0,1.0,沉睡/低价值用户
59155,United States,1,16.989999771118164,1089,0,0.0,沉睡/低价值用户
90144,Japan,1,21.15999984741211,1089,0,1.0,沉睡/低价值用户
70974,Brazil,1,20.0,1089,0,0.0,沉睡/低价值用户
25143,China,1,11.989999771118164,1092,0,0.0,沉睡/低价值用户
43855,China,1,28.989999771118164,1092,0,0.0,沉睡/低价值用户
32021,South Korea,1,25.5,1092,0,1.0,沉睡/低价值用户
47604,United States,1,15.0,1092,0,0.0,沉睡/低价值用户
60427,United States,1,25.0,1094,0,1.0,沉睡/低价值用户
54063,China,1,25.0,1095,0,0.0,沉睡/低价值用户
56780,China,1,19.989999771118164,1096,0,0.0,沉睡/低价值用户
97256,Spain,1,25.0,1099,0,0.0,沉睡/低价值用户
49708,United States,1,15.0,1100,0,1.0,沉睡/低价值用户
64936,China,1,28.0,1101,0,0.0,沉睡/低价值用户
62638,China,1,24.989999771118164,1101,0,0.0,沉睡/低价值用户
79480,Germany,1,12.0,1102,0,0.0,沉睡/低价值用户
51984,United States,1,31.989999771118164,1103,0,1.0,沉睡/低价值用户
47788,Germany,1,31.25,1103,0,0.0,沉睡/低价值用户
54434,United States,1,29.75,1104,0,0.0,沉睡/低价值用户
93610,China,1,14.989999771118164,1105,0,1.0,沉睡/低价值用户
12496,United States,1,12.0,1106,0,0.0,沉睡/低价值用户
55267,United States,1,20.989999771118164,1106,0,0.0,沉睡/低价值用户
23890,Brazil,1,29.709999084472656,1107,0,1.0,沉睡/低价值用户
31313,United Kingdom,1,12.0,1107,0,0.0,沉睡/低价值用户
38697,China,1,28.0,1108,0,0.0,沉睡/低价值用户
42337,China,1,14.989999771118164,1108,0,0.0,沉睡/低价值用户
64352,Brazil,1,24.96999931335449,1110,0,0.0,沉睡/低价值用户
12620,United States,1,32.560001373291016,1110,0,0.0,沉睡/低价值用户
52549,China,1,16.65999984741211,1110,0,1.0,沉睡/低价值用户
3172,United States,1,17.0,1112,0,0.0,沉睡/低价值用户
63824,China,1,12.25,1113,0,0.0,沉睡/低价值用户
41910,China,1,26.0,1114,0,0.0,沉睡/低价值用户
98411,Australia,1,22.5,1114,0,0.0,沉睡/低价值用户
99155,China,1,15.949999809265137,1115,0,0.0,沉睡/低价值用户
37750,China,1,9.949999809265137,1115,0,0.0,沉睡/低价值用户
43559,China,1,14.989999771118164,1116,0,0.0,沉睡/低价值用户
6535,United States,1,25.0,1116,0,1.0,沉睡/低价值用户
3098,China,1,23.96999931335449,1117,0,0.0,沉睡/低价值用户
41667,China,1,14.0,1118,0,0.0,沉睡/低价值用户
42545,China,1,11.529999732971191,1119,0,0.0,沉睡/低价值用户
94952,Spain,1,12.579999923706056,1120,0,0.0,沉睡/低价值用户
37054,United States,1,8.949999809265137,1120,0,0.0,沉睡/低价值用户
7736,United States,1,18.07999992370605,1121,0,0.0,沉睡/低价值用户
11141,South Korea,1,8.0,1121,0,1.0,沉睡/低价值用户
34617,China,1,24.25,1122,0,0.0,沉睡/低价值用户
31211,China,1,26.6299991607666,1122,0,0.0,沉睡/低价值用户
87305,United States,1,25.0,1122,0,0.0,沉睡/低价值用户
83561,China,1,22.789999961853027,1122,0,0.0,沉睡/低价值用户
5044,China,1,29.989999771118164,1125,0,1.0,沉睡/低价值用户
82397,Brazil,1,23.0,1125,0,0.0,沉睡/低价值用户
92688,United States,1,32.97999978065491,1125,0,0.0,沉睡/低价值用户
39014,China,1,16.989999771118164,1126,0,0.0,沉睡/低价值用户
76726,United States,1,8.949999809265137,1128,0,0.0,沉睡/低价值用户
65372,United States,1,16.989999771118164,1128,0,0.0,沉睡/低价值用户
75390,China,1,9.989999771118164,1129,0,0.0,沉睡/低价值用户
96991,South Korea,1,29.950000762939453,1130,0,0.0,沉睡/低价值用户
11207,United Kingdom,1,31.239999771118164,1130,0,0.0,沉睡/低价值用户
89771,Brazil,1,19.989999771118164,1131,0,1.0,沉睡/低价值用户
21213,Brazil,1,16.600000381469727,1132,0,0.0,沉睡/低价值用户
8579,Spain,1,8.300000190734863,1135,0,0.0,沉睡/低价值用户
93365,United States,1,10.6899995803833,1137,0,0.0,沉睡/低价值用户
7956,Australia,1,29.950000762939453,1137,0,1.0,沉睡/低价值用户
19920,United States,1,16.989999771118164,1141,0,0.0,沉睡/低价值用户
84465,China,1,5.369999885559082,1142,0,0.0,沉睡/低价值用户
61069,United States,1,13.949999809265137,1143,0,0.0,沉睡/低价值用户
90890,United States,1,11.989999771118164,1143,0,0.0,沉睡/低价值用户
